Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VALU,SQ_INSTS_SALU,FETCH_SIZE,WRITE_SIZE
3955,"void rocblas_dot_kernel_inc1<false, 512, 2, false, double, double const*, double>(int, double const*, long, long, double const*, long, int, double*, double*) [clone .kd]",0,2,3404,122848,122848,551424,512,512,0,8,32,87040,0x0,0x7f8ca67199c0,731248,339255,17217.6250000000,3.4062500000
3956,"void rocblas_dot_kernel_reduce<512, 2, double, double>(int, double*, double*) [clone .kd]",0,2,3405,122848,122848,512,512,512,0,8,24,82432,0x0,0x7f8ca67198c0,716,233,8.1875000000,0.0000000000
3957,"__amd_rocclr_copyBuffer.kd",0,2,3406,122848,122848,256,256,0,0,4,32,2880,0x0,0x7f8ca6640b80,28,28,0.3750000000,0.0000000000
3958,"void rocblas_dot_kernel_magsq<false, 512, 2, false, double, double const*, double>(int, double const*, long, int, long, double*, double*) [clone .kd]",0,2,3407,122848,122848,551424,512,512,0,8,40,89472,0x0,0x7f8ca6719a40,714016,269250,7878.9375000000,1.3437500000
3959,"void rocblas_dot_kernel_reduce<512, 2, double, double>(int, double*, double*) [clone .kd]",0,2,3408,122848,122848,512,512,512,0,8,24,82432,0x0,0x7f8ca67198c0,716,233,3.2500000000,0.0000000000
3960,"__amd_rocclr_copyBuffer.kd",0,2,3409,122848,122848,256,256,0,0,4,32,2880,0x0,0x7f8ca6640b80,28,28,0.8125000000,0.0000000000
3961,"void rocblas_dot_kernel_inc1<false, 512, 2, false, double, double const*, double>(int, double const*, long, long, double const*, long, int, double*, double*) [clone .kd]",0,2,3410,122848,122848,551424,512,512,0,8,32,87040,0x0,0x7f8ca67199c0,731248,339255,16281.8125000000,3.3750000000
3962,"void rocblas_dot_kernel_reduce<512, 2, double, double>(int, double*, double*) [clone .kd]",0,2,3411,122848,122848,512,512,512,0,8,24,82432,0x0,0x7f8ca67198c0,716,233,6.0625000000,0.0000000000
3963,"__amd_rocclr_copyBuffer.kd",0,2,3412,122848,122848,256,256,0,0,4,32,2880,0x0,0x7f8ca6640b80,28,28,0.8125000000,0.0000000000
3964,"void rocblas_dot_kernel_inc1<false, 512, 2, false, double, double const*, double>(int, double const*, long, long, double const*, long, int, double*, double*) [clone .kd]",0,2,3413,122848,122848,551424,512,512,0,8,32,87040,0x0,0x7f8ca67199c0,731248,339255,17226.7500000000,3.7500000000
3965,"void rocblas_dot_kernel_reduce<512, 2, double, double>(int, double*, double*) [clone .kd]",0,2,3414,122848,122848,512,512,512,0,8,24,82432,0x0,0x7f8ca67198c0,716,233,7.3125000000,0.0000000000
3966,"__amd_rocclr_copyBuffer.kd",0,2,3415,122848,122848,256,256,0,0,4,32,2880,0x0,0x7f8ca6640b80,28,28,0.8125000000,0.0000000000
3967,"void rocblas_dot_kernel_inc1<false, 512, 2, false, double, double const*, double>(int, double const*, long, long, double const*, long, int, double*, double*) [clone .kd]",0,2,3416,122848,122848,551424,512,512,0,8,32,87040,0x0,0x7f8ca67199c0,731248,339255,17230.3125000000,3.6250000000
3968,"void rocblas_dot_kernel_reduce<512, 2, double, double>(int, double*, double*) [clone .kd]",0,2,3417,122848,122848,512,512,512,0,8,24,82432,0x0,0x7f8ca67198c0,716,233,8.1875000000,0.0000000000
3969,"__amd_rocclr_copyBuffer.kd",0,2,3418,122848,122848,256,256,0,0,4,32,2880,0x0,0x7f8ca6640b80,28,28,0.8125000000,0.0000000000
3970,"void rocblas_dot_kernel_inc1<false, 512, 2, false, double, double const*, double>(int, double const*, long, long, double const*, long, int, double*, double*) [clone .kd]",0,2,3419,122848,122848,551424,512,512,0,8,32,87040,0x0,0x7f8ca67199c0,731248,339255,17232.3750000000,4.0625000000
3971,"void rocblas_dot_kernel_reduce<512, 2, double, double>(int, double*, double*) [clone .kd]",0,2,3420,122848,122848,512,512,512,0,8,24,82432,0x0,0x7f8ca67198c0,716,233,8.3125000000,0.0000000000
3972,"__amd_rocclr_copyBuffer.kd",0,2,3421,122848,122848,256,256,0,0,4,32,2880,0x0,0x7f8ca6640b80,28,28,0.3750000000,0.0000000000
3973,"void rocblas_dot_kernel_inc1<false, 512, 2, false, double, double const*, double>(int, double const*, long, long, double const*, long, int, double*, double*) [clone .kd]",0,2,3424,122848,122848,551424,512,512,0,8,32,87040,0x0,0x7f8ca67199c0,731248,339255,17238.6250000000,3.2500000000
